Filename,TrueAngle,Est_MVDR,Est_SRP_PHAT,Est_W_SRP_PHAT,Est_GCCWLS,abs_err_mvdr,abs_err_srp,abs_err_wsrp,abs_err_gccwls
100d2m_001.wav,100,90,98,98.0848501996552,97.533523615252,10,2,1.91514980034475,2.46647638474802
100d2m_002.wav,100,92,98,98.3022809889095,97.847860115554,8,2,1.6977190110905,2.15213988444599
100d2m_003.wav,100,90,98,99.2916983053795,98.8663305091929,10,2,0.708301694620488,1.13366949080711
100d2m_004.wav,100,92,98,100.096322772433,99.7323149527463,8,2,0.0963227724333535,0.267685047253707
100d2m_005.wav,100,99,99,98.9090663449923,98.8118026133741,1,1,1.09093365500766,1.18819738662592
100d2m_006.wav,100,99,99,99.0201153473893,98.9513675916284,1,1,0.97988465261065,1.04863240837159
100d2m_007.wav,100,92,97,97.0051590748591,96.5162387593834,8,3,2.99484092514093,3.48376124061664
100d2m_008.wav,100,99,99,98.5754988288386,98.4326669215811,1,1,1.42450117116141,1.56733307841891
100d2m_009.wav,100,92,96,96.0496770372852,95.8303998825128,8,4,3.95032296271482,4.16960011748722
100d2m_010.wav,100,91,98,97.7752024248641,97.3597514233536,9,2,2.22479757513587,2.64024857664639
100d2m_011.wav,100,92,98,97.1545984359041,97.0753092921571,8,2,2.84540156409589,2.92469070784294
100d2m_012.wav,100,89,99,98.4892614478334,98.162295807636,11,1,1.51073855216661,1.83770419236403
100d2m_013.wav,100,94,98,97.5096080741543,97.3068759359334,6,2,2.49039192584571,2.69312406406662
100d2m_014.wav,100,92,99,98.3564101360367,97.8443774718001,8,1,1.64358986396329,2.15562252819986
100d2m_015.wav,100,99,100,98.4680387799541,98.4276785513011,1,0,1.53196122004586,1.57232144869893
100d2m_016.wav,100,99,100,98.4546262281293,98.4328066722035,1,0,1.5453737718707,1.56719332779649
100d2m_017.wav,100,98,99,98.9820752552686,98.8289024203343,2,1,1.0179247447314,1.17109757966573
100d2m_018.wav,100,99,99,98.6101843056803,98.4843934804936,1,1,1.38981569431971,1.51560651950643
100d2m_019.wav,100,99,99,99.6493233413535,99.9345981219243,1,1,0.350676658646535,0.0654018780757468
100d2m_020.wav,100,100,100,105.421573209511,105.904739671805,0,0,5.42157320951105,5.90473967180517
100d2m_021.wav,100,100,99,98.3860461346121,98.3296765196716,0,1,1.61395386538786,1.67032348032842
100d2m_022.wav,100,92,98,98.1021372102731,97.5959970494805,8,2,1.89786278972686,2.4040029505195
100d2m_023.wav,100,90,98,97.66043393415,97.3746662311817,10,2,2.33956606585004,2.62533376881834
100d2m_024.wav,100,98,99,98.8575895558857,98.7065821617811,2,1,1.1424104441143,1.29341783821894
100d2m_025.wav,100,99,99,98.7155813794838,98.5688135945152,1,1,1.28441862051618,1.43118640548479
100d2m_026.wav,100,95,98,97.2506110325668,97.0029678388874,5,2,2.74938896743323,2.99703216111256
100d2m_027.wav,100,99,99,98.9646751448819,99.0639084271503,1,1,1.03532485511808,0.936091572849733
100d2m_028.wav,100,94,98,97.9890629417135,97.5880342529567,6,2,2.0109370582865,2.41196574704331
100d2m_029.wav,100,99,99,98.7230300318386,98.6126646309067,1,1,1.27696996816137,1.38733536909328
100d2m_030.wav,100,99,101,100.466293016165,101.54739939451,1,1,0.466293016165039,1.54739939450963
