AngleDeg,MAE_MVDR,RMSE_MVDR,ACC_MVDR,MAE_SRP,RMSE_SRP,ACC_SRP,MAE_WSRP,RMSE_WSRP,ACC_WSRP,MAE_GCCWLS,RMSE_GCCWLS,ACC_GCCWLS
20,13.7605042016807,17.6124239953391,0,11.9831932773109,12.4113664359217,0,6.56892959241593,6.74367747227404,0.516806722689076,8.05067372333169,8.55849035236559,0.369747899159664
30,8.07172995780591,8.16884066473984,0.0421940928270042,7.78902953586498,8.05204589144738,0.291139240506329,5.04450424083068,5.19897328860662,0.666666666666667,5.77109228392416,5.94232038519402,0.464135021097046
40,5.2511013215859,6.35166217102278,0.656387665198238,6.94273127753304,7.9430794414519,0.480176211453745,4.65076158036943,5.2401864945684,0.577092511013216,5.26876162296601,5.8867809107505,0.488986784140969
50,4.08583690987124,4.79896269192155,0.682403433476395,6.23175965665236,6.9566406968743,0.506437768240343,5.02734407225371,5.87552360699651,0.570815450643777,5.74636990966215,6.96890867495591,0.510729613733906
60,3.46382978723404,3.77223902132971,0.923404255319149,4.68936170212766,5.00127643281661,0.617021276595745,3.97877133829976,4.62383203822605,0.685106382978723,4.17314428087933,4.87233947075098,0.638297872340426
70,1.62978723404255,2.18018152669949,0.991489361702128,1.55744680851064,2.28594223787339,0.995744680851064,1.53268172957073,1.69228978640771,1,1.51520246988085,1.94336962243317,0.995744680851064
80,1.28095238095238,1.7361698402765,0.990476190476191,3.45714285714286,4.04027344666293,0.676190476190476,1.72458487017069,2.47685822807319,1,1.75546305765834,2.52821528663443,0.995238095238095
90,1.05957446808511,1.30628594829899,1,1.18723404255319,1.48610586375866,1,1.41837413032275,1.55551320068135,1,1.39755685398122,1.52533813894429,1
100,4.875,6.59381894472862,0.547413793103448,1.40086206896552,1.62814682045739,1,1.67007177321269,1.83803587870613,1,1.91203880316607,2.10078954359512,1
110,6.7198275862069,7.73232132696568,0.521551724137931,2.95689655172414,3.27608892136487,0.974137931034483,3.05566475234449,3.33377906306812,0.991379310344828,3.23256456274529,3.56407129579514,0.987068965517241
120,6.36206896551724,7.28602819762261,0.448275862068966,6.14224137931035,6.36429967434183,0.508620689655172,4.32492757177199,4.61221734464318,0.836206896551724,4.60233689361374,4.94407065550895,0.693965517241379
130,6.26293103448276,7.1904510433558,0.435344827586207,5.84051724137931,6.30988551183092,0.508620689655172,5.14696028193814,5.443013791503,0.551724137931034,5.72333598251998,6.08436224067512,0.512931034482759
140,7.87341772151899,8.64196414617635,0.223628691983122,6.93248945147679,7.66409790024061,0.434599156118143,5.59036837813039,6.3335112571996,0.616033755274262,6.54231583345848,7.58537890862147,0.459915611814346
150,9.18695652173913,10.6829811830089,0.0521739130434783,7.92173913043478,8.07788177142024,0,5.93728636407114,6.07605749068819,0.526086956521739,6.33467137321128,6.50172259976285,0.465217391304348
160,11.1255813953488,13.3792619812451,0,11.1767441860465,11.499848330648,0,5.96121917277424,6.11861513065226,0.609302325581395,6.95143349892804,7.28747525934251,0.502325581395349
