Filename,TrueAngle,Est_MVDR,Est_SRP_PHAT,Est_W_SRP_PHAT,Est_GCCWLS,abs_err_mvdr,abs_err_srp,abs_err_wsrp,abs_err_gccwls
100d1m_001.wav,100,100,100,105.421573209511,105.904739671805,0,0,5.42157320951105,5.90473967180517
100d1m_002.wav,100,99,99,99.0201153473893,98.9513675916284,1,1,0.97988465261065,1.04863240837159
100d1m_003.wav,100,99,99,99.3241743104826,99.3645438866401,1,1,0.675825689517353,0.635456113359865
100d1m_004.wav,100,97,99,99.1411231995579,99.092238502649,3,1,0.858876800442118,0.907761497350961
100d1m_005.wav,100,98,99,98.4349411559845,98.2955095414657,2,1,1.56505884401548,1.70449045853428
100d1m_006.wav,100,98,98,98.1703248164308,98.0511457069873,2,2,1.82967518356922,1.94885429301267
100d1m_007.wav,100,99,99,98.5177641725261,98.4139596218706,1,1,1.48223582747386,1.58604037812937
100d1m_008.wav,100,97,99,98.5746120720385,98.4631638907306,3,1,1.42538792796152,1.53683610926942
100d1m_009.wav,100,98,99,98.7047063861697,98.6268768424513,2,1,1.29529361383032,1.37312315754868
100d1m_010.wav,100,99,99,98.9646751448819,99.0639084271503,1,1,1.03532485511808,0.936091572849733
100d1m_011.wav,100,98,99,98.5388715241328,98.5409619456286,2,1,1.46112847586716,1.4590380543714
100d1m_012.wav,100,98,99,98.7346053990982,98.6791466526905,2,1,1.2653946009018,1.32085334730945
100d1m_013.wav,100,99,99,98.7155813794838,98.5688135945152,1,1,1.28441862051618,1.43118640548479
100d1m_014.wav,100,98,99,98.5750428167849,98.4480640038593,2,1,1.42495718321514,1.55193599614067
100d1m_015.wav,100,99,99,98.6270065568288,98.5218741048632,1,1,1.3729934431712,1.4781258951368
100d1m_016.wav,100,99,99,98.7404606966154,98.6531804905919,1,1,1.25953930338456,1.34681950940806
100d1m_017.wav,100,98,99,98.7749428060848,98.6337098811396,2,1,1.22505719391519,1.36629011886041
100d1m_018.wav,100,98,99,98.6886807420112,98.533118947424,2,1,1.31131925798877,1.46688105257596
100d1m_019.wav,100,97,99,99.5179336271814,99.3796458011328,3,1,0.482066372818636,0.62035419886719
100d1m_020.wav,100,99,99,98.7204265054288,98.7661671288086,1,1,1.27957349457118,1.23383287119144
