file,fs,duration_s,channels,channel_index,rms_dbfs,peak_dbfs,crest_db,zcr,snr_db,spectral_centroid_hz
100d1m_001.wav,16000,1,6,1,-42.1124962420491,-26.6892870834597,15.4232091585894,0.0682573781392256,15.5677540244081,7946.42234064804
100d1m_001.wav,16000,1,6,2,-42.0253858581977,-26.519192425207,15.5061934329908,0.0679504884660631,15.9545322795354,7948.12338136443
100d1m_001.wav,16000,1,6,3,-42.1150135854105,-26.7640419740818,15.3509716113287,0.0739348370927318,16.1811800723789,7947.24340036699
100d1m_001.wav,16000,1,6,4,-41.7318823407175,-26.7064811959132,15.0254011448042,0.0725282594240704,16.2416826298789,7948.64626351298
100d1m_001.wav,16000,1,6,5,-76.4890084823508,-65.2035485971247,11.2854598852261,0.66091248529487,1.90988632233075,7940.47481081949
100d1m_001.wav,16000,1,6,6,-85.2901937616083,-74.745973691511,10.5442200700974,0.578947368421053,1.03866676496951,7821.09780342869
100d1m_002.wav,16000,1,6,1,-40.5687865645679,-26.1347983010663,14.4339882635016,0.0698685489233287,14.3822751803579,7964.46384533225
100d1m_002.wav,16000,1,6,2,-40.5193172723761,-26.049275004461,14.4700422679151,0.0690246023221319,14.6624949761662,7965.4339263493
100d1m_002.wav,16000,1,6,3,-40.628751136722,-26.1079817016916,14.5207694350305,0.0720423507748964,14.9296166342859,7964.58493772583
100d1m_002.wav,16000,1,6,4,-40.2556978331769,-25.8131595693407,14.4425382638362,0.0717610352411641,14.8786439222006,7965.05155956837
100d1m_002.wav,16000,1,6,5,-78.0316738007127,-60.766573604799,17.2651001959137,0.538437931563603,15.3255720237235,7780.0218191996
100d1m_002.wav,16000,1,6,6,-86.3326397383256,-74.745973691511,11.5866660468147,0.498567848191908,6.2306072513657,7773.57058204019
100d1m_003.wav,16000,1,6,1,-41.6340812235285,-26.4298191388106,15.2042620847179,0.061173341517058,12.70223848665,7963.39382358328
100d1m_003.wav,16000,1,6,2,-41.5248228025445,-26.3854749983949,15.1393478041496,0.0617615467239527,13.0227694057773,7963.8823556512
100d1m_003.wav,16000,1,6,3,-41.5821697310594,-26.6265316144009,14.9556381166585,0.0630914019743236,13.2473537068783,7962.94658670453
100d1m_003.wav,16000,1,6,4,-41.1747170321648,-26.1616979498129,15.0130190823519,0.0624776226279986,13.3003008584132,7963.02273435625
100d1m_003.wav,16000,1,6,5,-88.739723143745,-84.2883987858831,4.45132435786191,0.438315175694338,1.12186239242109,7740.28320910595
100d1m_003.wav,16000,1,6,6,-88.7148308169744,-84.2883987858831,4.42643203109122,0.433225921947726,1.43109756587843,7738.71557662276
100d1m_004.wav,16000,1,6,1,-40.9110899864378,-27.0159943805084,13.8950956059294,0.0684875453940975,16.9134307797086,7959.93644660533
100d1m_004.wav,16000,1,6,2,-40.6793459116136,-26.5079703440102,14.1713755676034,0.0674901539563194,17.4752859753275,7960.66082517861
100d1m_004.wav,16000,1,6,3,-40.7006191086345,-26.5360527792,14.1645663294346,0.0696383816684568,17.8447463185366,7959.3713655902
100d1m_004.wav,16000,1,6,4,-40.3263025200652,-26.1079817016916,14.2183208183736,0.0714797197074318,17.9797684018633,7958.89711912506
100d1m_004.wav,16000,1,6,5,-88.6803687659227,-84.2883987858831,4.39196998003958,0.437701396348013,1.2834062042044,7737.71132804748
100d1m_004.wav,16000,1,6,6,-88.7594362651081,-84.2883987858831,4.47103747922498,0.445143470922203,1.38435669151459,7740.93268327627
100d1m_005.wav,16000,1,6,1,-39.2386282291565,-20.5860587630629,18.6525694660936,0.065853409032786,27.8613427955161,7937.33831725804
100d1m_005.wav,16000,1,6,2,-39.1620466507437,-20.2250203284054,18.9370263223383,0.0661347245665183,28.0212960274021,7937.91141296992
100d1m_005.wav,16000,1,6,3,-39.2708405129492,-20.0659879607537,19.2048525521955,0.0735256508618485,28.0287055188043,7938.4576086257
100d1m_005.wav,16000,1,6,4,-38.9281105048195,-19.397908554513,19.5302019503065,0.0753414147613933,27.764850804902,7939.19189150882
100d1m_005.wav,16000,1,6,5,-88.732920165525,-84.2883987858831,4.44452137964184,0.436013503145619,1.21379972949105,7740.20455119096
100d1m_005.wav,16000,1,6,6,-88.7170878693347,-84.2883987858831,4.42868908345162,0.439338141271546,1.58746877495353,7738.69478936335
100d1m_006.wav,16000,1,6,1,-36.1308744405223,-18.5750026667134,17.5558717738089,0.0595365965935246,20.1872658739825,7972.20168293271
